size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
12810,91599,3946,0.0011164939464585334,0.3476613338758618,16,7.019049362064839,14.609211553473848,40,0.04707503617969278,0.021085367417603557,0
3838,26468,2206,0.0035946313037953726,0.38991525065541366,17,6.602976720864548,14.367378843147472,31,0.01412250240436285,0.04000580319901346,1
3405,23644,833,0.004079850775886018,0.4081913674765519,15,6.598181978185809,14.13245227606461,31,0.012645124043658569,0.017310529706365204,2
951,6607,193,0.014626155293596768,0.522147296876565,13,6.098092866234988,14.097791798107256,30,0.0035678325524459917,0.014395465055567987,3
2740,19175,1144,0.005110022039052028,0.49885891701378693,22,8.668472962853404,14.413868613138686,31,0.010278411144346217,0.028966425279789335,4
12386,87732,5267,0.00114382856756567,0.33849717320321826,17,6.748716175248586,14.591554981430647,35,0.04515236350203422,0.029142759128207116,5
3576,24505,1020,0.003833638397396787,0.4578588001450915,17,7.3257106428247365,13.990492170022371,28,0.013098030251954926,0.02038776733959624,6
8529,59973,2487,0.001649075211226151,0.38806855571983034,15,6.9900063671961705,14.354906788603587,32,0.03140483308709324,0.020313150866188037,7
7400,51119,4384,0.0018672720564868153,0.34690207980637544,15,6.409599434547401,14.408378378378378,34,0.02687189088078002,0.04111721783496839,8
7863,55406,3597,0.0017925260599079512,0.39725457134629677,16,6.8838482842126,14.550298868116496,33,0.02906906350491621,0.031439834278771776,9
1335,9016,670,0.01012527444143097,0.44448749978713076,13,5.7595853758514,14.008988764044943,31,0.004861038518061653,0.035825045449684526,10
1047,7467,377,0.013636338733447655,0.4518506958330378,13,5.243708236772276,14.623686723973258,31,0.004029941944229384,0.02462282019463131,11
3235,23237,613,0.0044421759149072025,0.43520608053494686,15,6.973108748909146,14.55548686244204,33,0.012431757663375512,0.013018455199949031,12
4153,29124,1584,0.003378016309680724,0.3894033770469898,13,6.157067783485903,14.40693474596677,31,0.015522468034680124,0.026474127557160047,13
9117,64987,2000,0.001563868433007536,0.3574751451020705,15,6.54930012995218,14.475595042228804,33,0.03394418412465921,0.015154500128813251,14
1865,12604,273,0.007251262815128468,0.5071826669484343,15,6.537261388348733,13.662734584450401,27,0.00678375879021533,0.010713865232918646,15
568,3992,351,0.02479071962640038,0.4664499782875873,12,5.057977494597213,14.674295774647888,29,0.002158585759535923,0.04211157768446311,16
4836,33155,1073,0.002835934900517747,0.4375011554874544,22,7.978012630195971,13.933622828784118,35,0.017636745228621777,0.015923897719009247,20
4116,28751,521,0.0033949841002188065,0.4159718319269101,15,7.027067414363767,14.096938775510203,35,0.015335957739751258,0.008979197904279337,18
1313,9037,511,0.010491938030576041,0.44347864399404924,13,6.1197580944773655,14.154607768469155,28,0.00487274104348805,0.02749529190207156,19
8637,60236,2575,0.0016151414659175817,0.39653407070701857,14,6.849456540129734,14.24649762649068,32,0.03153631104753913,0.020926962867847246,21
1411,9715,918,0.009766223844062106,0.5053401105547424,20,7.747421224321567,14.420978029766124,29,0.005235180096975838,0.04511499901710242,22
2581,17613,1133,0.005289999369272771,0.43731087498957094,15,6.449512688129413,14.087175513366912,32,0.009449262355378818,0.031161473087818695,23
1354,9575,794,0.010453273594102934,0.4443768910216136,12,5.615925439501474,14.729689807976367,31,0.005160494752662109,0.03981147212194144,24
9676,68199,4200,0.001457005425395208,0.35508557367242566,16,6.707338223559611,14.53059115336916,38,0.03551246870480593,0.0298724021678829,25
763,5163,42,0.017760394629570388,0.6095457693179688,13,5.912897355720443,13.588466579292268,29,0.0027904822707671057,0.004050925925925926,26
182,1309,3,0.07947301317467063,0.5025563326549088,7,3.3288203509197984,14.401098901098901,31,0.000708981339452398,0.0011446012972148034,27
2563,17380,2439,0.005293611147406968,0.4153606690348291,16,5.940094474816209,14.513850955911042,33,0.009318437029627575,0.06556627866340493,28
19,139,0,0.8128654970760234,0.8673283372973777,2,1.2690058479532165,14.631578947368421,20,7.533315911558021e-05,0.0,29
2370,16172,946,0.005760767152370724,0.4477962087281934,16,6.322125983831238,14.046413502109704,31,0.00868393026442832,0.028416942024632023,30
4640,31761,2375,0.002951085623387918,0.40691440820965413,16,6.703102630620452,14.201939655172414,34,0.016895734466169543,0.03604109443525502,31
